Title,Image,Address,Area,_2shyij,dist_to_airpt,score,rating,add_info1,add_info2,add_info3,add_info4,Price,link,Room,Description,rev_score
Oak Hotel,,171 Fell Street San Francisco 94102 CA,Civic Center,1.0 mile to city center,11 miles to San Francisco International Airport (SFO),,Good,Airport transfer,Bathtub,,,$70 ,https://www.hotels.com/ho612747904/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&q-room-0-adults-alter=2&q-room-1-adults-alter=2&WOD=1&WOE=2&JHR=1&FPQ=2&MGT=1&ZSX=0&SYE=3&YGF=0,,Walking distance from San Francisco City Hall,
JW Marriott San Francisco Union Square,https://exp.cdn-hotels.com/hotels/1000000/10000/2100/2063/0a58e614_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,515 Mason Street San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.6,Fabulous,Parking available,Pet-friendly,Gym,Restaurant,$339 ,https://www.hotels.com/ho127103/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=4&FPQ=5&MGT=1&ZSX=0&SYE=3&YGF=0,Room 2 Queen Beds Non Smoking,Luxury hotel with restaurant near SHN Curran Theatre ,
Villa Montes Hotel Ascend Hotel Collection,https://exp.cdn-hotels.com/hotels/3000000/2170000/2161600/2161526/950b2b27_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,620 El Camino Real San Bruno 94066 CA,San Bruno,11 miles to city center,1.6 miles to San Francisco International Airport (SFO),8.6,Fabulous,Free parking,Airport transfer,Gym,Internet access,$153 ,https://www.hotels.com/ho271136/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Standard Room 2 Queen Beds Non Smoking,San Bruno hotel in shopping district,
Holiday Inn Express San Francisco Union Square an IHG Hotel,https://exp.cdn-hotels.com/hotels/1000000/160000/151000/150946/3ffcf5cc_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,235 O Farrell Street San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.4,Very Good,Gym,Internet access,,,$189 ,https://www.hotels.com/ho164128/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Standard Room 2 Queen Beds,Hotel with 24-hour fitness near SHN Curran Theatre ,
Le Meridien San Francisco,https://exp.cdn-hotels.com/hotels/1000000/20000/11600/11523/7cad6a13_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,333 Battery St San Francisco 94111 CA,Financial District,0.7 miles to city center,12 miles to San Francisco International Airport (SFO),9.2,Superb,Pet-friendly,Gym,Restaurant,Bar,$359 ,https://www.hotels.com/ho110021/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=4&FPQ=5&MGT=1&ZSX=0&SYE=3&YGF=0,Room 2 Double Beds Non Smoking City View,4-star hotel with restaurant near Exploratorium ,
The Ritz-Carlton San Francisco,https://exp.cdn-hotels.com/hotels/1000000/30000/22200/22148/3c92a22e_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,600 Stockton St San Francisco 94108 CA,Downtown San Francisco,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),9,Superb,Parking available,Pet-friendly,Gym,Restaurant,$739 ,https://www.hotels.com/ho124533/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=6&FPQ=6&MGT=1&ZSX=0&SYE=3&YGF=0,Room 2 Queen Beds Non Smoking,Luxury hotel with 2 bars/lounges near 555 California Street ,
Geneva Motel Daly City,https://exp.cdn-hotels.com/hotels/19000000/18070000/18069700/18069626/e8ba6666_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,3233 Geneva Ave Daly City 94014 CA,Daly City,5.7 miles to city center,6.3 miles to San Francisco International Airport (SFO),,,Free parking,Bathtub,,,$133 ,https://www.hotels.com/ho685695/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,,No-frills motel in Daly City,
Marriott San Francisco Fisherman's Wharf,https://exp.cdn-hotels.com/hotels/1000000/30000/20500/20488/3cc34aa1_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1250 Columbus Ave San Francisco 94133 CA,Fisherman's Wharf,1.4 miles to city center,13 miles to San Francisco International Airport (SFO),8.6,Fabulous,Parking available,Pet-friendly,Gym,Restaurant,$219 ,https://www.hotels.com/ho106346/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=3&FPQ=4&MGT=1&ZSX=0&SYE=3&YGF=0,Room 2 Queen Beds Non Smoking,4-star hotel with restaurant near Lombard Street ,
Pacifica Beach Hotel,https://exp.cdn-hotels.com/hotels/1000000/980000/970500/970469/131f1859_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,525 Crespi Drive Pacifica 94044 CA,Linda Mar,14 miles to city center,6.2 miles to San Francisco International Airport (SFO),,Good,Pool,Free parking,Restaurant,Bar,$159 ,https://www.hotels.com/ho222009/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&q-room-0-adults-alter=2&q-room-1-adults-alter=2&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Standard Room 1 King Bed,Victorian hotel with indoor pool near Pacifica State Beach ,
Hotel Bijou WorldHotels Crafted,https://exp.cdn-hotels.com/hotels/1000000/30000/23600/23555/4ed2d814_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,111 Mason St San Francisco 94102 CA,Downtown San Francisco,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Pet-friendly,Airport transfer,Spa,Restaurant,$169 ,https://www.hotels.com/ho140765/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Superior Room 2 Double Beds Non Smoking,4-star hotel with restaurant near Westfield San Francisco Centre ,
