Title,Image,Address,Area,_2shyij,dist_to_airpt,score,rating,add_info1,add_info2,add_info3,add_info4,Price,link,Room,Description,rev_score
European Hostel,https://exp.cdn-hotels.com/hotels/8000000/7810000/7807600/7807544/8e06e435_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,761 Minna Street San Francisco 94103 CA,South of Market,0.8 miles to city center,11 miles to San Francisco International Airport (SFO),,,,,,,$105 ,https://www.hotels.com/ho453089/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,,Walking distance from Orpheum Theater,
Amsterdam Hostel,https://exp.cdn-hotels.com/hotels/10000000/9760000/9753200/9753107/d3e5588a_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,749 Taylor Street San Francisco 94108 CA,Lower Nob Hill,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),,,,,,,$78 ,https://www.hotels.com/ho487686/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=1&FPQ=2&MGT=1&ZSX=0&SYE=3&YGF=0,Private Room with 4 Beds Private Bathroom,City-center hostel within easy reach of SF Masonic Auditorium,
Music City Hotel - Home of the San Francisco Music Hall of Fame,https://exp.cdn-hotels.com/hotels/3000000/2170000/2168200/2168121/9971b4c6_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1353 Bush Street San Francisco 94109 CA,Lower Nob Hill,0.6 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Airport transfer,,,,$341 ,https://www.hotels.com/ho318072/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=4&FPQ=5&MGT=1&ZSX=0&SYE=3&YGF=0,Summer of Love Suite 2 Queen Beds Private bathroom (Kitchenette),Art Deco hostel within walking distance of The Regency Ballroom,
HI San Francisco Downtown Hostel,https://exp.cdn-hotels.com/hotels/39000000/38770000/38769100/38769067/44b7f934_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,312 Mason Street San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.8,Fabulous,Bathtub,,,,$267 ,https://www.hotels.com/ho1241610144/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=3&FPQ=4&MGT=1&ZSX=0&SYE=3&YGF=0,Room,Walking distance from Warfield Theater,
Orange Village Hostel,https://exp.cdn-hotels.com/hotels/10000000/9750000/9747500/9747477/6dcdb44c_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,411 O'Farrell Street San Francisco 94102 CA,Union Square,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),,,,,,,$98 ,https://www.hotels.com/ho487556/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&q-room-0-adults-alter=2&q-room-1-adults-alter=2&WOD=1&WOE=2&JHR=1&FPQ=2&MGT=1&ZSX=0&SYE=3&YGF=0,Standard Double Room 1 Double Bed (Shared Hallway Bathroom ),Walking distance from Warfield Theater,
SureStay Plus Hotel by Best Western Hayward,https://exp.cdn-hotels.com/hotels/1000000/130000/123500/123488/83518d2f_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2460 Whipple Rd Hayward 94544 CA,Hayward,23 miles to San Francisco,18 miles to San Francisco International Airport (SFO),8,Very Good,Free parking,Free breakfast,Bathtub,,$116 ,https://www.hotels.com/ho142229/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,,Hayward hotel in shopping district,
Concord Plaza Hotel,https://exp.cdn-hotels.com/hotels/1000000/10000/200/196/8cf2771c_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,45 John Glenn Drive Concord 94520 CA,Concord,23 miles to San Francisco,31 miles to San Francisco International Airport (SFO),,Good,Pool,Parking available,Pet-friendly,Gym,$138 ,https://www.hotels.com/ho105906/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Standard Room 2 Queen Beds Non Smoking,3.5-star hotel with outdoor pool near The Veranda ,
Oakland Airport Executive Hotel,https://exp.cdn-hotels.com/hotels/1000000/20000/15400/15360/e7088893_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,150 Hegenberger Rd Oakland 94621 CA,Oakland,12 miles to San Francisco,13 miles to San Francisco International Airport (SFO),,Good,Pool,Parking available,Airport transfer,Restaurant,$102 ,https://www.hotels.com/ho112123/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&q-room-0-adults-alter=2&q-room-1-adults-alter=2&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Deluxe Room 1 King Bed,3-star hotel with outdoor pool near RingCentral Coliseum ,
La Quinta Inn & Suites by Wyndham Oakland - Hayward,https://exp.cdn-hotels.com/hotels/1000000/10000/8000/7973/9763365e_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,20777 Hesperian Blvd Hayward 94541 CA,Hayward,18 miles to San Francisco,15 miles to San Francisco International Airport (SFO),,Good,Pool,Free parking,Pet-friendly,Gym,$108 ,https://www.hotels.com/ho129764/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Standard Room 2 Queen Beds Non Smoking,Suburban Hayward hotel with outdoor pool,
Harbor View Inn,https://exp.cdn-hotels.com/hotels/2000000/1040000/1038100/1038086/bdd0ec55_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,51 Ave. Alhambra Half Moon Bay 94018 CA,Half Moon Bay,20 miles to San Francisco,9.2 miles to San Francisco International Airport (SFO),9.4,Exceptional,Free parking,Free breakfast,,,$189 ,https://www.hotels.com/ho230439/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&q-room-0-adults-alter=2&q-room-1-adults-alter=2&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Premium Room 1 Queen Bed,Walking distance from Pillar Point Harbor,
Home2 Suites by Hilton Hayward,data:image/gif;base64R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==,22101 Hesperian Blvd Hayward 94541 CA,Hayward,18 miles to San Francisco,15 miles to San Francisco International Airport (SFO),10,Exceptional,Pool,Free parking,Pet-friendly,Gym,$165 ,https://www.hotels.com/ho2292032288/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,,3-star Hayward hotel with outdoor pool,
Red Roof Inn Hayward,https://exp.cdn-hotels.com/hotels/14000000/13280000/13278800/13278737/dc5cddc0_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2286 Industrial Pkwy W Hayward 94545-5025 CA,Hayward,22 miles to San Francisco,17 miles to San Francisco International Airport (SFO),,Good,Free parking,Pet-friendly,Bathtub,,$90 ,https://www.hotels.com/ho698958/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&q-room-0-adults-alter=2&q-room-1-adults-alter=2&WOD=1&WOE=2&JHR=1&FPQ=2&MGT=1&ZSX=0&SYE=3&YGF=0,Standard Room 1 King Bed (Smoke Free),No-frills hotel in Hayward,
Good Nite Inn - Redwood City,https://exp.cdn-hotels.com/hotels/1000000/60000/51000/50967/cde183db_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,485 Veterans Blvd Redwood City 94063 CA,Redwood City,22 miles to San Francisco,12 miles to San Francisco International Airport (SFO),8.8,Fabulous,Pool,Free parking,Pet-friendly,Restaurant,$84 ,https://www.hotels.com/ho174111/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=1&FPQ=2&MGT=1&ZSX=0&SYE=3&YGF=0,Two Queens Deluxe Room,Redwood City hotel with outdoor pool and restaurant,
Extended Stay America Suites Union City Dyer St,https://exp.cdn-hotels.com/hotels/1000000/430000/425300/425213/72df948a_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,31950 Dyer Street Union City 94587 CA,Union City,23 miles to San Francisco,17 miles to San Francisco International Airport (SFO),,Good,Free parking,Pet-friendly,Free breakfast,Kitchen,$145 ,https://www.hotels.com/ho262345/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Studio 2 Double Beds Non Smoking,No-frills Union City guestrooms with kitchens,
Heritage Inn Express Hayward,https://exp.cdn-hotels.com/hotels/1000000/120000/116800/116787/6e32e776_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,410 W A St Hayward 94541 CA,Hayward,18 miles to San Francisco,16 miles to San Francisco International Airport (SFO),,,Free parking,Pet-friendly,Bathtub,,$85 ,https://www.hotels.com/ho174068/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=1&FPQ=2&MGT=1&ZSX=0&SYE=3&YGF=0,Room 2 Queen Beds Smoking,No-frills motel in Hayward,
Hotel Sausalito,https://exp.cdn-hotels.com/hotels/11000000/10660000/10658900/10658882/08c1cd4c_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,16 El Portal (at Bridgeway) Sausalito 94965 CA,Sausalito,6.1 miles to San Francisco,17 miles to San Francisco International Airport (SFO),9,Superb,Parking available,Parking available,Internet access,,,https://www.hotels.com/ho513411/?q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&ZSX=0&SYE=3,,,
Cypress Inn On Miramar Beach,https://exp.cdn-hotels.com/hotels/2000000/1060000/1050500/1050434/3beb49b3_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,407 Mirada Rd Half Moon Bay 94019 CA,Half Moon Bay,21 miles to San Francisco,9.3 miles to San Francisco International Airport (SFO),9.4,Exceptional,Free parking,Free parking,Free breakfast,Connecting rooms available,,https://www.hotels.com/ho219106/?q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&ZSX=0&SYE=3,,,
The Gables Inn - Sausalito,https://exp.cdn-hotels.com/hotels/2000000/1870000/1869300/1869241/b7cfe1e4_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,62 Princess Street Sausalito 94965 CA,Sausalito,6.1 miles to San Francisco,17 miles to San Francisco International Airport (SFO),9,Superb,Parking available,Parking available,Bathtub,,,https://www.hotels.com/ho265030/?q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&ZSX=0&SYE=3,,,
Renaissance Walnut Creek Hotel,https://exp.cdn-hotels.com/hotels/1000000/900000/891300/891251/6ff86783_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2805 Jones Rd Walnut Creek 94597 CA,Walnut Creek,21 miles to San Francisco,28 miles to San Francisco International Airport (SFO),8.8,Fabulous,Pool,Parking available,Spa,Gym,,https://www.hotels.com/ho221325/?q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&ZSX=0&SYE=3,,,
Waters Edge Hotel,,25 Main St Tiburon 94920 CA,Tiburon,6.5 miles to San Francisco,18 miles to San Francisco International Airport (SFO),9.6,Exceptional,Parking available,Pet-friendly,Bathtub,Internet access,,https://www.hotels.com/ho626212/?q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&ZSX=0&SYE=3,,,
Courtyard by Marriott Richmond/Berkeley,,3150 Garrity Way San Pablo 94806 CA,San Pablo,14 miles to San Francisco,25 miles to San Francisco International Airport (SFO),8.8,Fabulous,Pool,Free parking,Gym,Restaurant,,https://www.hotels.com/ho120788/?q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&ZSX=0&SYE=3,,,
Nantucket Whale Inn,,779 Main St. Half Moon Bay 94019 CA,Half Moon Bay,23 miles to San Francisco,11 miles to San Francisco International Airport (SFO),9.4,Exceptional,Free parking,Free parking,Free breakfast,,,https://www.hotels.com/ho547281/?q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&ZSX=0&SYE=3,,,
HI Point Montara Lighthouse Hostel,,16th Street and Highway 1 Montara 94037 CA,Montara,18 miles to San Francisco,9.0 miles to San Francisco International Airport (SFO),8.8,Fabulous,Free parking,,,,,https://www.hotels.com/ho513058/?q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&ZSX=0&SYE=3,,,
Fairfax Inn,data:image/gif;base64R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==,15 Broadway Fairfax 94930 CA,Fairfax,17 miles to San Francisco,28 miles to San Francisco International Airport (SFO),8.2,Very Good,Free parking,,,,,https://www.hotels.com/ho374648/?q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&ZSX=0&SYE=3,,,
The Catrina by Kasa,,2110 S El Camino Real San Mateo 94403 CA,San Mateo,18 miles to San Francisco,6.4 miles to San Francisco International Airport (SFO),8.4,Very Good,Free parking,Pet-friendly,,,,https://www.hotels.com/ho2303272928/?q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&ZSX=0&SYE=3,,,
Sun Valley Inn,,2045 Contra Costa Blvd Pleasant Hill 94523 CA,Pleasant Hill,22 miles to San Francisco,29 miles to San Francisco International Airport (SFO),9,Superb,Free parking,,,,,https://www.hotels.com/ho2431799552/?q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&ZSX=0&SYE=3,,,
Business Class Fast Wifi,,El Cerrito CA,El Cerrito,10 miles to San Francisco,21 miles to San Francisco International Airport (SFO),10,Exceptional,Free parking,Pet-friendly,Kitchen,,,https://www.hotels.com/ho1105168000/?q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&ZSX=0&SYE=3,,,
Romantic House,,Richmond CA,Richmond,12 miles to San Francisco,23 miles to San Francisco International Airport (SFO),10,Exceptional,Free parking,Pet-friendly,Kitchen,,,https://www.hotels.com/ho1105177888/?q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&ZSX=0&SYE=3,,,
Stunning Alameda One Bedroom,,Alameda CA,Alameda,9.6 miles to San Francisco,13 miles to San Francisco International Airport (SFO),10,Exceptional,Kitchen,Internet access,,,,https://www.hotels.com/ho1822956096/?q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&ZSX=0&SYE=3,,,
Travis Lodge Motel 16,,9610 MacArthur Blvd Oakland 94605 CA,Oakland,14 miles to San Francisco,16 miles to San Francisco International Airport (SFO),8,Very Good,Free parking,Bathtub,,,,https://www.hotels.com/ho1253271936/?q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&ZSX=0&SYE=3,,,
